,seller_city,seller_lat,seller_long
0,volta redonda,-22.50719,-44.09579
1,santos,-23.95233,-46.33457
2,rio de janeiro,-22.89286,-43.39352
3,sao paulo,-10.5442,-37.54154
4,curitiba,-25.46908,-49.2744
5,belo horizonte,-19.88328,-43.95417
6,icara,-28.75038,-49.2814
7,borda da mata,-22.27097,-46.15981
8,piracicaba,-22.72472,-47.65293
9,franca,-20.53227,-47.39725
10,loanda,-22.9298,-53.13573
11,ribeirao preto,-21.17216,-47.80135
12,santana de parnaiba,-23.44787,-46.89444
13,boituva,-23.28703,-47.67698
14,jales,-20.27074,-50.54584
15,presidente prudente,-22.12088,-51.40172
16,guarulhos,-23.43594,-46.46742
17,santo andre,-23.67595,-46.51687
18,mirandopolis,-21.12646,-51.10388
19,mococa,-21.46609,-47.00126
20,limeira,-22.57581,-47.40848
21,ibitinga,-21.76226,-48.83089
22,pedreira,-22.73649,-46.89837
23,brusque,-27.10961,-48.91084
24,lajeado,-23.30409,-50.31039
25,votorantim,-23.54695,-47.44678
26,caucaia,-3.74224,-38.65151
27,osasco,-23.53032,-46.78923
28,jaragua do sul,-26.4838,-49.1114
29,colatina,-19.51708,-40.64646
30,sao jose do rio preto,-20.80276,-49.38243
31,tres rios,-22.11082,-43.19916
32,indaiatuba,-23.09683,-47.21766
33,bariri,-22.07785,-48.74122
34,cascavel,-22.05636,-46.97765
35,amparo,-22.71013,-46.78037
36,jau,-22.29468,-48.56128
37,itatiba,-23.0001,-46.82412
38,ilicinea,-20.94243,-45.82496
39,salto,-23.19549,-47.29393
40,blumenau,-26.89995,-49.09125
41,natal,-5.79155,-35.23712
42,pocos de caldas,-21.80359,-46.5613
43,mogi das cruses,-23.50813,-46.20389
44,campinas,-22.91405,-47.07736
45,petropolis,-22.48042,-43.17245
46,pradopolis,-21.35893,-48.07448
47,riberao preto,-21.1704,-47.8103
48,guara,-20.43456,-47.82272
49,maringa,-23.41461,-51.93207
50,sao bernardo do campo,-23.72152,-46.55235
51,muriae,-21.13061,-42.38303
52,bertioga,-23.81106,-46.0615
53,porto ferreira,-21.85507,-47.47653
54,sao goncalo,-22.82282,-43.02824
55,sumare,-22.822,-47.26306
56,campo limpo paulista,-23.21227,-46.76838
57,contagem,-19.90851,-44.06416
58,sete lagoas,-19.45026,-44.23482
59,palhoca,-27.67102,-48.66899
60,sao jose dos campos,-23.21104,-45.8763
61,rolandia,-23.31434,-51.3802
62,jacarei,-23.29796,-45.96866
63,guariba,-21.36197,-48.23322
64,porto seguro,-20.66527,-43.09161
65,maua,-23.66784,-46.4454
66,campo largo,-25.45476,-49.5237
67,serra negra,-22.61041,-46.70178
68,tres coracoes,-21.69366,-45.25709
69,atibaia,-23.12494,-46.56631
70,videira,-27.00582,-51.15007
71,monte siao,-22.42959,-46.56831
72,uba,-21.11627,-42.94365
73,sao caetano do sul,-23.62838,-46.56519
74,sorocaba,-23.49214,-47.46873
75,taboao da serra,-23.62147,-46.78357
76,mineiros do tiete,-22.42374,-48.44658
77,sao roque,-23.5417,-47.12337
78,brasilia,-15.81962,-47.97349
79,sao carlos,-22.00496,-47.88902
80,neopolis,-10.32492,-36.60107
81,itauna,-20.08166,-44.58335
82,recife,-8.07826,-34.91721
83,vendas@creditparts.com.br,0,0
84,arapongas,-23.41031,-51.43422
85,tabatinga,-3.95201,-38.69322
86,foz do iguacu,-25.51851,-54.56019
87,carapicuiba,-23.53683,-46.84022
88,santa barbara d´oeste,-22.75514,-47.40608
89,concordia,-27.23129,-52.02693
90,uberlandia,-18.92082,-48.27528
91,sarandi,-21.06899,-47.73573
92,sao jose do rio pardo,-21.60295,-46.89506
93,praia grande,-24.02815,-46.48938
94,buritama,-21.0702,-50.14707
95,assis,-22.65594,-50.42363
96,goiania,-16.67459,-49.27911
97,cruzeiro,-22.57201,-44.96164
98,joinville,-26.30161,-48.83654
99,novo horizonte,-16.45544,-49.96205
100,mogi guacu,-22.35332,-46.9428
101,pinhais,-25.42811,-49.1768
102,ibia,-19.49954,-46.54429
103,cananeia,-24.92418,-47.82197
104,montenegro,-29.69034,-51.47372
105,tiradentes,-29.215,-52.03186
106,araucaria,-25.58298,-49.39133
107,toledo,-24.72909,-53.73761
108,carazinho,-28.29591,-52.79297
109,taubate,-23.03931,-45.55499
110,conselheiro lafaiete,-20.66287,-43.78692
111,betim,-19.95436,-44.1666
112,araguari,-18.64254,-48.19873
113,dracena,-21.48874,-51.5373
114,penapolis,-21.41946,-50.07748
115,ipaussu,-23.05653,-49.62586
116,mogi das cruzes,-23.50813,-46.20389
117,itajai,-26.91215,-48.69206
118,florianopolis,-27.57916,-48.51216
119,marilia,-22.20423,-49.95123
120,andradas,-22.07603,-46.57448
121,vargem grande paulista,-23.6206,-47.01394
122,juiz de fora,-21.74928,-43.36667
123,taruma,-22.7493,-50.578
124,porto belo,-27.15635,-48.56577
125,criciuma,-28.68941,-49.38412
126,engenheiro coelho,-22.49038,-47.20356
127,mesquita,-22.01058,-49.78907
128,guaruja,-23.97755,-46.23294
129,vicente de carvalho,-23.95481,-46.27997
130,sao bento,-6.4875,-37.4483
131,poa,-23.52899,-46.3475
132,baependi,-21.96083,-44.88374
133,barueri,-23.49621,-46.85705
134,jaguaruna,-28.6467,-49.0097
135,colombo,-25.35,-49.18681
136,mamanguape,-6.81728,-35.13296
137,sao luis,1.01416,-60.03807
138,formiga,-20.46836,-45.43593
139,cotia,-23.61095,-46.90691
140,diadema,-23.69413,-46.61196
141,santa rita do sapucai,-22.24113,-45.70601
142,ponte nova,-20.41185,-42.90405
143,hortolandia,-22.87671,-47.2018
144,cuiaba,-15.60085,-56.06095
145,lencois paulista,-22.59904,-48.79985
146,itapecerica da serra,-23.7246,-46.83866
147,canoinhas,-26.17718,-50.39553
148,jaboticabal,-21.25504,-48.32265
149,varginha,-19.71322,-44.56314
150,capivari,-22.99521,-47.50124
151,balneario camboriu,-26.99775,-48.63044
152,fernandopolis,-20.28039,-50.25002
153,umuarama,-23.75884,-53.31357
154,novo hamburgo,-29.70355,-51.10077
155,descalvado,-21.90779,-47.62044
156,jussara,-11.04707,-41.95553
157,birigui,-21.29067,-50.33502
158,jundiai,-23.17607,-46.90181
159,cariacica,-20.32091,-40.3893
160,sao sebastiao,-23.77858,-45.50692
161,bauru,-22.32527,-49.06792
162,patos de minas,-18.58949,-46.51028
163,ferraz de vasconcelos,-23.47789,-46.40966
164,vila velha,-20.33199,-40.31882
165,barra mansa,-22.54136,-44.17243
166,campo mourao,-24.0351,-52.37756
167,santa terezinha de itaipu,-25.44146,-54.4034
168,bebedouro,-8.45569,-35.94825
169,nova iguacu,-22.74573,-43.48312
170,lages,-27.81791,-50.3239
171,coxim,-18.50381,-54.74022
172,cajamar,-23.36799,-46.85492
173,itu,-23.29655,-47.29971
174,araraquara,-21.78343,-48.16896
175,ribeirao pires,-23.70473,-46.40569
176,rio do sul,-27.2144,-49.64091
177,socorro,-22.59392,-46.52699
178,brejao,-9.02575,-36.56172
179,votuporanga,-20.41792,-49.9729
180,sao ludgero,-28.337,-49.17312
181,ribeirao preto / sao paulo,-21.17216,-47.80135
182,leme,-22.18461,-47.37613
183,serrana,-21.20774,-47.60318
184,registro,-26.56862,-52.32504
185,gama,-16.00529,-48.06495
186,teresopolis,-22.41899,-42.97158
187,anapolis,-16.32838,-48.95187
188,lauro de freitas,-12.88454,-38.33266
189,mogi mirim,-22.43764,-46.95348
190,mateus leme,-19.99996,-44.42631
191,igaracu do tiete,-22.51559,-48.55818
192,canoas,-29.91378,-51.17269
193,vitoria,-20.29371,-40.31738
194,caxias do sul,-29.16762,-51.17993
195,tubarao,-28.4769,-49.01539
196,xanxere,-26.87766,-52.40298
197,francisco beltrao,-26.0706,-53.06399
198,itapevi,-23.54888,-46.94382
199,fronteira,-20.27717,-49.19903
200,sp,-23.43362,-46.58371
201,morrinhos,-16.53391,-43.90544
202,ampere,-25.92101,-53.47479
203,teresina,-5.08385,-42.78807
204,valinhos,-22.96906,-46.99482
205,pato branco,-26.23474,-52.67877
206,queimados,-22.71628,-43.56339
207,pilar do sul,-23.80604,-47.73762
208,santa barbara d'oeste,-22.75514,-47.40608
209,sao jose,-27.582,-48.63929
210,cachoeiro de itapemirim,-20.84323,-41.13151
211,braganca paulista,-22.94424,-46.54871
212,ji parana,-10.87989,-61.93802
213,sao bernardo do capo,-3.3447,-42.40693
214,niteroi,-22.90176,-43.08068
215,aracatuba,-21.20214,-50.44532
216,congonhas,-20.50492,-43.85583
217,nova lima,-20.01979,-43.89114
218,paincandu,-23.4555,-52.0423
219,farroupilha,-29.21094,-51.32839
220,louveira,-23.08819,-46.9624
221,araras,-22.35527,-47.37032
222,varzea paulista,-23.21179,-46.82904
223,barretos,-20.55417,-48.57076
224,mucambo,-3.90278,-40.75237
225,floresta,-8.58266,-38.51899
226,campo bom,-29.6765,-51.05991
227,flores da cunha,-29.03511,-51.18849
228,cachoeirinha,-8.48208,-36.24375
229,sao pedro,-22.55724,-47.90492
230,tupa,-21.9347,-50.51143
231,coronel fabriciano,-19.50616,-42.62243
232,parai,-28.59777,-51.78741
233,sinop,-11.84868,-55.51064
234,divinopolis,-20.14502,-44.88911
235,garca,-22.21346,-49.65877
236,nova friburgo,-22.28608,-42.52794
237,conchal,-22.33943,-47.16641
238,vespasiano,-19.73848,-43.9458
239,timbo,-26.82424,-49.26843
240,pirituba,-23.4802,-46.724
241,sao joao de meriti,-22.78758,-43.36943
242,sao paulo - sp,-23.43362,-46.58371
243,massaranduba,-26.63195,-49.00664
244,aparecida de goiania,-16.80854,-49.27862
245,americana,-22.73605,-47.3157
246,fazenda rio grande,-25.65868,-49.31175
247,indaial,-26.901,-49.23486
248,uruacu,-14.5209,-49.14227
249,santo antonio de padua,-21.54531,-42.19134
250,botucatu,-22.90317,-48.43256
251,auriflama,-20.68506,-50.55463
252,paulinia,-22.76138,-47.16605
253,claudio,-20.43178,-44.76669
254,rio claro,-22.40095,-47.56766
255,rio grande,-32.08421,-52.14772
256,scao jose do rio pardo,-20.34877,-41.54168
257,suzano,-23.55425,-46.30962
258,paracambi,-22.61791,-43.70906
259,parnamirim,-5.91311,-35.24864
260,pedro leopoldo,-19.60957,-44.0398
261,batatais,-20.89414,-47.58427
262,venancio aires,-29.62451,-52.15
263,aruja,-23.39563,-46.3202
264,dois corregos,-22.36932,-48.38384
265,porto velho,-8.78934,-63.8934
266,lagoa santa,-19.63099,-43.8987
267,navegantes,-26.86935,-48.65546
268,mage,-22.6371,-43.12363
269,arraial d'ajuda (porto seguro),-16.48476,-39.07288
270,laranjal paulista,-23.04752,-47.84468
271,catanduva,-21.1371,-48.96983
272,sao joaquim da barra,-20.5721,-47.86985
273,ribeirao das neves,-19.7805,-44.06338
274,ponta grossa,-25.09325,-50.15834
275,sao  paulo,-10.5442,-37.54154
276,cerqueira cesar,-23.03691,-49.16318
277,santa rosa de viterbo,-21.48413,-47.37029
278,jacutinga,-22.28302,-46.61225
279,teixeira soares,-25.37118,-50.45413
280,braco do norte,-28.27709,-49.15993
281,salvador,-12.93512,-38.45508
282,viamao,-30.11057,-51.00367
283,sao jose dos pinhais,-25.53849,-49.17219
284,auriflama/sp,-20.68506,-50.55463
285,jaguariuna,-22.69219,-46.98971
286,estancia velha,-29.65731,-51.17356
287,brasilia df,-15.81962,-47.97349
288,echapora,-22.42782,-50.20554
289,campina das missoes,-27.97655,-54.83837
290,garulhos,-23.4543,-46.5339
291,s jose do rio preto,-20.80276,-49.38243
292,ubatuba,-23.45844,-45.101
293,sbc/sp,-5.315,141.752
294,taio,-27.11223,-50.00413
295,tatui,-23.35307,-47.85183
296,mairinque,-23.52484,-47.1982
297,monteiro lobato,-22.93985,-45.81425
298,fortaleza,-3.77363,-38.55182
299,japira,-23.79983,-50.14581
300,ilheus,-14.78715,-39.06906
301,joao pinheiro,-17.72256,-46.0996
302,rio bonito,-22.71914,-42.62588
303,ouro fino,-22.27887,-46.37658
304,arvorezinha,-28.87047,-52.17353
305,apucarana,-23.55362,-51.45213
306,bento goncalves,-29.16114,-51.51394
307,ipatinga,-19.46584,-42.55594
308,armacao dos buzios,-22.77233,-41.91395
309,luiz alves,-26.7276,-48.91543
310,tiete,-23.0931,-47.71341
311,pinhalao,-23.80421,-50.05982
312,muqui,-20.94873,-41.33826
313,paraiba do sul,-22.17123,-43.29409
314,guaratuba,-25.89571,-48.58517
315,santa barbara d oeste,-19.93273,-44.03427
316,mairipora,-23.339,-46.60487
317,mombuca,-22.94648,-47.59594
318,serra,-20.16139,-40.25229
319,duque de caxias,-22.7664,-43.29847
320,mirassol,-20.81704,-49.50558
321,bombinhas,-27.16599,-48.5073
322,aperibe,-21.62705,-42.10499
323,sao joao del rei,-21.13501,-44.25619
324,sabara,-19.87831,-43.83629
325,imbituba,-28.23452,-48.6814
326,aparecida,-22.84809,-45.23436
327,alvares machado,-22.08228,-51.47024
328,california,-23.66693,-51.35106
329,uberaba,-19.7529,-47.93273
330,governador valadares,-18.86331,-41.96027
331,sao paluo,-23.43362,-46.58371
332,entre rios do oeste,-24.71176,-54.23693
333,formosa,-15.51705,-47.31895
334,lagoa da prata,-20.02512,-45.53247
335,santo angelo,-28.29838,-54.2619
336,guanhaes,-18.78069,-42.91514
337,alfenas,-21.41726,-45.95371
338,campos dos goytacazes,-21.76113,-41.3077
339,parana,-12.68857,-47.81144
340,campo grande,-20.46823,-54.6192
341,artur nogueira,-22.56808,-47.16436
342,castro,-24.78869,-49.9955
343,pelotas,-31.74172,-52.33655
344,cafelandia,-21.78356,-49.58454
345,bofete,-23.11778,-48.28003
346,rio verde,-17.78848,-50.92311
347,carapicuiba / sao paulo,-23.53683,-46.84022
348,itaipulandia,-25.14585,-54.30271
349,bady bassitt,-20.91644,-49.45153
350,sombrio,-29.10479,-49.63743
351,extrema,-22.85006,-46.31882
352,sao leopoldo,-29.75656,-51.14098
353,tocantins,-21.17369,-43.02099
354,timoteo,-19.5567,-42.6375
355,guanambi,-14.22762,-42.81088
356,sao jose dos pinhas,-27.582,-48.63929
357,mandirituba,-25.79077,-49.32144
358,campina grande,-7.23211,-35.90053
359,mogi das cruzes / sp,-23.50813,-46.20389
360,vicosa,-20.75268,-42.87882
361,varzea alegre,-6.78968,-39.3
362,laurentino,-27.21456,-49.73208
363,santa cruz do sul,-29.71447,-52.41458
364,sertanopolis,-23.05963,-51.04044
365,torres,-8.00529,-36.05869
366,ao bernardo do campo,-23.6898,-46.5648
367,sando andre,-23.6742,-46.5436
368,lorena,-22.73739,-45.11543
369,laranjeiras do sul,-25.40237,-52.40871
370,cornelio procopio,-23.17968,-50.65105
371,itajobi,-21.31716,-49.06211
372,rio do oeste,-27.19184,-49.80066
